COL.ID,SEASON,SITE,SPECIES,SE,PE,PC,LPC,Col,WE,TAG,FFA,storage,structural,STOSTR
WT-PD7,3_WNT,WT,PA,0,0.001913036,0.03013018,0.028316454,0.042906583,0.395696738,0.136925365,0.364111643,0.896733746,0.103266253,8.683705663
WT-PD10,3_WNT,WT,PA,0.000440361,0.003105857,0.04981406,0.052314177,0.05734965,0.33968571,0.06622483,0.431065354,0.837416255,0.162583744,5.150676411
WT-PD11,3_WNT,WT,PA,0.000139227,0.001305933,0.038750251,0.04385471,0.041736799,0.336857685,0.150466969,0.386888427,0.874352308,0.125647693,6.958761336
WT-PD13,3_WNT,WT,PA,0.000224325,0.002502353,0.036192355,0.048978716,0.046009823,0.368093961,0.108308716,0.389689752,0.866316754,0.133683247,6.480368883
WT-PD15,3_WNT,WT,PA,0,0.001207155,0.017635501,0.048742138,0.042546421,0.349969228,0.094707287,0.44519227,0.889868785,0.110131215,8.080077796
WT-PD16,3_WNT,WT,PA,0.000442512,0.001059905,0.044227377,0.04276973,0.041946861,0.323784034,0.140777971,0.404991611,0.869996128,0.130003873,6.692078535
WT-PD3,4_SP,WT,PA,0.00251502,0.006790773,0,0.028922796,0.038263561,0.549991124,0.081546252,0.291970474,0.92602287,0.07397713,12.51769121
WT-PD7,4_SP,WT,PA,0.003347101,0.009000084,0.064057198,0.06708719,0.081745325,0.37737494,0.039788426,0.357599735,0.778110202,0.221889797,3.506741691
WT-PD10,4_SP,WT,PA,0.00284461,0.007274348,0.036050586,0.069773341,0.070234815,0.417587898,0.060018613,0.33621579,0.816666911,0.18333309,4.4545527
WT-PD11,4_SP,WT,PA,0.003884509,0.005280904,0.057778274,0.055333633,0.05305629,0.452431878,0.096767451,0.275467061,0.828550899,0.171449101,4.832634841
WT-PD13,4_SP,WT,PA,0.004027514,0.012181221,0.018744597,0.091437033,0.070158522,0.426683457,0.047714851,0.329052806,0.807478628,0.192521373,4.194228492
WT-PD15,4_SP,WT,PA,0.005374458,0.005629027,0.046206769,0.071050722,0.063022264,0.382508135,0.085821199,0.340387425,0.814091217,0.185908782,4.378982038
WT-PD16,4_SP,WT,PA,0.003831763,0.004440984,0.060189478,0.060535701,0.051077676,0.427005219,0.083143371,0.309775808,0.823756161,0.176243839,4.673957204
WT-PD7,5_SM19,WT,PA,0.002340445,0.003029257,0.060767553,0.053844663,0.049070653,0.532613357,0.073977507,0.224356566,0.833287875,0.166712126,4.998363916
WT-PD10,5_SM19,WT,PA,0.004559795,0.003275487,0.08027285,0.074062961,0.083252317,0.361469451,0.04948794,0.3436192,0.759136386,0.240863615,3.151727113
WT-PD11,5_SM19,WT,PA,0.00454751,0.004139383,0.075274196,0.061411598,0.060310494,0.415866609,0.082199461,0.296250747,0.798864327,0.201135671,3.971768523
WT-PD13,5_SM19,WT,PA,0.001666098,0,0.065717358,0.06397325,0.076866123,0.474508234,0.088856986,0.22841195,0.793443268,0.206556731,3.841284979
WT-PD15,5_SM19,WT,PA,0.004188038,0.000637016,0.061419242,0.056285062,0.072850427,0.437465051,0.102915534,0.26423963,0.808808253,0.191191747,4.230351287
WT-PD16,5_SM19,WT,PA,0.005301184,0.02035831,0.082355756,0.075667442,0.068911234,0.417993715,0.116398944,0.213013415,0.752707258,0.247292742,3.043790335
OT-PD1,1_SM18,OT,PA,0.003239277,0.024878357,0.01724795,0.088440664,0.061206278,0.050777181,0.042825699,0.711384594,0.808226751,0.191773249,4.214491621
OT-PD2,1_SM18,OT,PA,0.005107186,0.019557169,0.012930847,0.069169356,0.040845813,0.189700401,0.178410864,0.484278364,0.857496815,0.142503185,6.017387015
OT-PD5,1_SM18,OT,PA,0.002633303,0.019663214,0.012348084,0.072655561,0.039691443,0.170315289,0.223918006,0.458775102,0.8556417,0.144358302,5.927208121
OT-PD7,1_SM18,OT,PA,0.003613347,0.047458179,0.016528158,0.081925319,0.041026879,0.227998019,0.180766867,0.400683231,0.813061464,0.186938535,4.349351855
OT-PD9,1_SM18,OT,PA,0.005032021,0.023942807,0.016737229,0.063594249,0.033368474,0.192832144,0.28386416,0.380628915,0.86235724,0.137642759,6.265184208
OT-PD10,1_SM18,OT,PA,0.012732313,0.040081173,0.027628259,0.091509814,0.039300178,0.134492068,0.168947502,0.485308693,0.801480576,0.198519424,4.037290457
OT-PD1,2_FL,OT,PA,0.001376791,0.07069447,0.002756968,0.045384339,0.063856624,0.037645931,0.042213707,0.736071169,0.817307598,0.182692401,4.473681409
OT-PD2,2_FL,OT,PA,0.002846938,0.061841104,0.047480998,0.029705899,0.031021048,0.32569752,0.179016684,0.322389809,0.829950951,0.170049049,4.880656233
OT-PD5,2_FL,OT,PA,0.001476666,0.02763789,0.040626403,0.029134853,0.040806213,0.29164264,0.142405054,0.42627028,0.86179464,0.138205359,6.235609431
OT-PD7,2_FL,OT,PA,0.00414839,0.037024578,0.029944968,0.025641242,0.037489436,0.302899657,0.157141814,0.405709914,0.869899775,0.130100224,6.686381839
OT-PD9,2_FL,OT,PA,0.009280303,0.001249829,0.047060537,0.03726456,0.042150552,0.302706212,0.14056466,0.419723346,0.872274521,0.127725478,6.829291498
OT-PD10,2_FL,OT,PA,0.011043919,0.000871493,0.043580311,0.03480597,0.038077899,0.320465637,0.160214829,0.390939943,0.882664328,0.117335673,7.522557339
OT-PD1,3_WNT,OT,PA,0.000659329,0.007050018,0.018657004,0.038408204,0.059877761,0.296886497,0.065893785,0.512567403,0.876007014,0.123992987,7.064972263
OT-PD2,3_WNT,OT,PA,0.002637198,0.001078076,0.019341401,0.021224058,0.02737765,0.339078886,0.271638062,0.317624669,0.930978815,0.069021185,13.48830529
OT-PD5,3_WNT,OT,PA,0.003965484,0.001982606,0.041303821,0.048556206,0.046991027,0.28715786,0.128506126,0.44153687,0.86116634,0.13883366,6.202864205
OT-PD7,3_WNT,OT,PA,0.004353835,0.018967332,0.043285133,0.046820352,0.04612365,0.209117069,0.173320691,0.458011938,0.844803533,0.155196467,5.443445649
OT-PD9,3_WNT,OT,PA,0.004718356,0.001419118,0.034455059,0.036953492,0.038227213,0.30952728,0.209193929,0.365505553,0.888945118,0.111054882,8.004556864
OT-PD10,3_WNT,OT,PA,0.006122275,0.019752633,0.037355508,0.039895272,0.042902833,0.26295469,0.173705131,0.417311658,0.860093754,0.139906246,6.147643716
OT-PD1,4_SP,OT,PA,0.00298717,0.002268529,0.013682534,0.025530663,0.061571381,0.266117275,0.110893419,0.516949028,0.896946892,0.103053107,8.70373459
