COL.ID,SEASON,SITE,SPECIES,SE,PE,PC,LPC,Col,WE,TAG,FFA,storage,structural,STOSTR
WT-PL10,2_FL,WT,PL,0.002840638,0.110490242,0.155601294,0.034287685,0.123235698,0.10865739,0.161334049,0.303553004,0.576385081,0.423614919,1.360634518
WT-PL1,3_WNT,WT,PL,0.003041692,0.016992608,0.080795977,0.048018908,0.092338566,0.056390399,0.098551808,0.603870043,0.761853942,0.238146059,3.199103715
WT-PL2,3_WNT,WT,PL,0.000605308,0.019632524,0.089139306,0.03669952,0.114181613,0.039153969,0.010664068,0.689923692,0.740347037,0.259652963,2.851294391
WT-PL3,3_WNT,WT,PL,0.00227413,0.016592385,0.098560299,0.039151941,0.106496093,0.064993859,0.121609645,0.550321648,0.739199282,0.260800718,2.834345272
WT-PL4,3_WNT,WT,PL,0.002171728,0.021178919,0.086505845,0.065887253,0.108001107,0.063509998,0.135459066,0.517286085,0.718426877,0.281573124,2.551475321
WT-PL6,3_WNT,WT,PL,0.003940178,0.017804131,0.091149632,0.045655222,0.122816094,0.064866302,0.103919201,0.54984924,0.722574921,0.277425079,2.604576787
WT-PL10,3_WNT,WT,PL,0.00461494,0.016657332,0.086486513,0.040287126,0.104534974,0.052885838,0.093490792,0.601042484,0.752034054,0.247965945,3.03281184
WT-PL1,4_SP,WT,PL,0.001784461,0.002148463,0.067026965,0.025506403,0.030987417,0.243108459,0.250376521,0.37906131,0.874330751,0.125669248,6.95739622
WT-PL2,4_SP,WT,PL,0.000439679,0.002032922,0.067811112,0.030556634,0.026983401,0.44153097,0.08267184,0.347973442,0.872615931,0.127384069,6.850275218
WT-PL3,4_SP,WT,PL,0.00089032,0.002723327,0.110186898,0.044225247,0.03950554,0.176610391,0.335305246,0.290553031,0.803358988,0.196641012,4.085409141
WT-PL4,4_SP,WT,PL,0,0.002535519,0.090136535,0.057679669,0.040394844,0.274889695,0.274723675,0.259640063,0.809253433,0.190746567,4.24255831
WT-PL6,4_SP,WT,PL,0.003348469,0.003032688,0.11890965,0.05874714,0.048006445,0.276098703,0.218557572,0.273299332,0.771304076,0.228695923,3.372618392
WT-PL10,4_SP,WT,PL,0.014012368,0.002869305,0.133877213,0.054161339,0.047950593,0.192715976,0.252131478,0.302281728,0.76114155,0.23885845,3.18657996
WT-PL1,5_SM19,WT,PL,0.002336214,0.019897934,0.062318982,0.017540733,0.033111086,0.158923713,0.274604322,0.431267016,0.867131265,0.132868735,6.526225037
WT-PL2,5_SM19,WT,PL,0.001698196,0.091306647,0.103124321,0.016995957,0.047891626,0.07787988,0.299008638,0.362094735,0.740681449,0.259318551,2.856260943
WT-PL3,5_SM19,WT,PL,0.000510337,0.053159624,0.144246377,0.024759641,0.062170468,0.146952537,0.325549774,0.242651242,0.71566389,0.28433611,2.516964483
WT-PL4,5_SM19,WT,PL,0.000420373,0.035949682,0.096018801,0.024182358,0.050340044,0.198319157,0.355933216,0.238836368,0.793509114,0.206490885,3.842828772
WT-PL6,5_SM19,WT,PL,0.005205886,0.064251704,0.080209759,0.026751776,0.043849558,0.196013555,0.246626003,0.337091759,0.784937203,0.215062797,3.64980468
WT-PL10,5_SM19,WT,PL,0.009827491,0.064780799,0.065300131,0.015403485,0.035295975,0.182968646,0.254785643,0.37163783,0.81921961,0.18078039,4.531573419
