COL.ID,SEASON,SITE,SPECIES,PE,PC,LPC,Col,WE,TAG,FFA,SE
OT-PD2,4_SP,OT,PA,0.003179046,0.024985925,0.03393459,0.082599136,0.328578443,0.080406138,0.440845833,0.005470889
OT-PD5,4_SP,OT,PA,0.005446247,0.030107738,0.055262269,0.110592577,0.3487277,0.06259344,0.383105479,0.00416455
OT-PD7,4_SP,OT,PA,0.001855183,0.019121485,0.026697048,0.051733748,0.338708906,0.129705029,0.428475148,0.003703453
OT-PD9,4_SP,OT,PA,0.001528769,0.01597438,0.023750234,0.049981123,0.361333244,0.130628968,0.412680966,0.004122315
OT-PD10,4_SP,OT,PA,0.001633555,0.016137817,0.023106021,0.04837449,0.339254753,0.127954657,0.438970589,0.004568118
OT-PD1,5_SM19,OT,PA,0.00298529,0.044510357,0.04214215,0.039161565,0.329762996,0.161024317,0.377696688,0.002716637
OT-PD2,5_SM19,OT,PA,0.004565088,0.065891766,0.057225662,0.04718476,0.398621061,0.100740496,0.321490217,0.004280949
OT-PD5,5_SM19,OT,PA,0.00400375,0.053181839,0.050265695,0.038151666,0.581346329,0.095155274,0.172917938,0.00497751
OT-PD7,5_SM19,OT,PA,0.004731523,0.073836543,0.064549683,0.048159848,0.429865726,0.12510472,0.246489248,0.007262709
OT-PD9,5_SM19,OT,PA,0.004421623,0.062090777,0.052081419,0.042863514,0.490361497,0.111300456,0.229406561,0.007474154
OT-PD10,5_SM19,OT,PA,0.00614285,0.076784459,0.062659432,0.053021136,0.36920814,0.091741171,0.331678382,0.00876443
OT-AN5,1_SM18,OT,AN,0.060936902,0.046198197,0.07342887,0.097955953,0,0.009150475,0.712329603,0
OT-AN8,1_SM18,OT,AN,0.067847666,0.24387594,0.080605662,0.071874282,0.012757509,0.042429214,0.480609726,0
OT-AN9,1_SM18,OT,AN,0.031261347,0.073571915,0.0772506,0.086706651,0.044465812,0.092986433,0.593757242,0
OT-AN10,1_SM18,OT,AN,0.080607377,0.102493772,0.065473131,0.062585414,0.071855838,0.153891277,0.46309319,0
OT-AN12,1_SM18,OT,AN,0.049026414,0.095790873,0.037864971,0.032217267,0.172840031,0.352045816,0.260001028,0.000213599
OT-AN13,1_SM18,OT,AN,0.098850964,0.111986859,0.066828416,0.069174125,0.055404928,0.145955732,0.451798976,0
OT-AN5,2_FL,OT,AN,0.065673484,0.05384833,0.039826621,0.082402468,0.304815226,0.174422434,0.278815045,0.000196393
OT-AN8,2_FL,OT,AN,0.114995686,0.188546636,0.019074354,0.144949083,0.179142202,0,0.35329204,0
OT-AN9,2_FL,OT,AN,0.071948968,0.08555886,0.049538822,0.069385548,0.251880675,0.193613785,0.271669696,0.006403646
OT-AN10,2_FL,OT,AN,0.081014824,0.071039272,0.049640811,0.079251154,0.291162883,0.178438143,0.247885613,0.001567301
OT-AN12,2_FL,OT,AN,0.09314232,0.132974792,0.054524051,0.106366528,0.220727756,0.108286136,0.283622714,0.000355704
OT-AN13,2_FL,OT,AN,0.074162611,0.105743066,0.043067865,0.061612317,0.246173242,0.251310993,0.213593589,0.004336316
OT-AN5,3_WNT,OT,AN,0.010337355,0.105492059,0.062413652,0.056801868,0.070210455,0.057996513,0.635798192,0.000949907
OT-AN8,3_WNT,OT,AN,0.017584575,0.180625213,0.058808887,0.064932236,0.005410989,0.008363527,0.664274573,0
OT-AN9,3_WNT,OT,AN,0.003420113,0.08347233,0.058063624,0.047798269,0.168028018,0.157166505,0.472590755,0.009460386
OT-AN10,3_WNT,OT,AN,0.04538023,0.09902897,0.061850306,0.051111455,0.128476885,0.095341828,0.513415408,0.005394918
OT-AN12,3_WNT,OT,AN,0.05886502,0.131284067,0.057363485,0.047526871,0.14171698,0.109387655,0.453380456,0.000475467
OT-AN13,3_WNT,OT,AN,0.030010995,0.111504203,0.072654802,0.052710917,0.08233833,0.077849569,0.569546955,0.00338423
OT-AN5,4_SP,OT,AN,0.009523349,0.124122543,0.057142975,0.114202334,0.1495148,0.159470822,0.386023177,0
OT-AN8,4_SP,OT,AN,0.008453919,0.158689828,0.040762222,0.090927711,0.089116755,0.046363091,0.565686473,0
OT-AN9,4_SP,OT,AN,0.002841436,0.050803193,0.026882928,0.050526146,0.134416661,0.151661384,0.578159344,0.004708909
OT-AN10,4_SP,OT,AN,0.005370554,0.086802804,0.050076767,0.071117301,0.146044932,0.259778476,0.378824026,0.00198514
OT-AN12,4_SP,OT,AN,0.016673818,0.209339782,0.096936495,0.113469176,0.094510665,0,0.466398536,0.002671527
OT-AN13,4_SP,OT,AN,0.00831171,0.145540298,0.04359154,0.086973006,0.148540017,0.172810111,0.394233319,0
OT-AN5,5_SM19,OT,AN,0.025476595,0.207024516,0.052575493,0.054528074,0.196390657,0.016443982,0.447560684,0
OT-AN8,5_SM19,OT,AN,0.079491636,0.132823594,0.044169508,0.037017413,0.181936617,0.093883802,0.43067743,0
OT-AN9,5_SM19,OT,AN,0.064221656,0.095965853,0.046871791,0.043494777,0.205461469,0.077491743,0.46195208,0.004540632
OT-AN10,5_SM19,OT,AN,0.041192899,0.082348901,0.028281206,0.028659988,0.241750202,0.215093782,0.362673023,0
OT-AN12,5_SM19,OT,AN,0.073926313,0.145645694,0.044697074,0.040003477,0.181234315,0.073605856,0.440812019,7.53E-05
OT-AN13,5_SM19,OT,AN,0.043158329,0.098641616,0.039386135,0.03672067,0.26885426,0.07212519,0.439372005,0.001741794
WT-AN1,1_SM18,WT,AN,0.068911017,0.166795095,0.082088385,0.06317321,0.071293779,0.178112126,0.369626388,0
WT-AN3,1_SM18,WT,AN,0.069591876,0.145040912,0.077806779,0.057331247,0.077430862,0.160191811,0.412606513,0
WT-AN5,1_SM18,WT,AN,0.03537202,0.073182368,0.041623779,0.033731878,0.197446629,0.379825324,0.238418065,0.000399936
WT-AN6,1_SM18,WT,AN,0.063382609,0.128873338,0.064631175,0.053315405,0.116142539,0.252109197,0.321545737,0
WT-AN7,1_SM18,WT,AN,0.033460737,0.127062667,0.044683391,0.048737895,0.132422514,0.290844826,0.32278797,0
WT-AN8,1_SM18,WT,AN,0.025912892,0.108104593,0.058654017,0.050346287,0.078237127,0.228014839,0.450730246,0
WT-AN1,2_FL,WT,AN,0.0216348,0.059344489,0.018876029,0.066482991,0.365732476,0.240996773,0.226932442,0
WT-AN3,2_FL,WT,AN,0.051553212,0.111204209,0.048039709,0.098348276,0.243018764,0.120521524,0.326281746,0.00103256
WT-AN5,2_FL,WT,AN,0.007942317,0.041644606,0.017267625,0.055903108,0.347339063,0.273515732,0.254648993,0.001738556
WT-AN6,2_FL,WT,AN,0.031619524,0.058726436,0.018871499,0.065675498,0.318480421,0.279048989,0.226314365,0.001263267
WT-AN7,2_FL,WT,AN,0.017915764,0.160736082,0.017525469,0.125373836,0.219521781,0.066736805,0.392190263,0
WT-AN8,2_FL,WT,AN,0.007209853,0.085778683,0.022802042,0.080543033,0.268407533,0.162709971,0.370481176,0.002067709
WT-AN1,3_WNT,WT,AN,0.00737697,0.119652116,0.056716811,0.051678398,0.108891048,0.1180504,0.536518127,0.001116129
WT-AN3,3_WNT,WT,AN,0.005872783,0.123507483,0.066575923,0.049584,0.114044857,0.085051223,0.554169224,0.001194505
WT-AN5,3_WNT,WT,AN,0.011134542,0.086139145,0.076720582,0.053821277,0.12586779,0.120571616,0.525745047,0
WT-AN6,3_WNT,WT,AN,0.006716534,0.131104357,0.069108589,0.048529148,0.118553938,0.13677682,0.486299496,0.002911118
WT-AN7,3_WNT,WT,AN,0.008964956,0.147820053,0.077804557,0.05525997,0.103201556,0.099224289,0.504090962,0.003633657
WT-AN8,3_WNT,WT,AN,0.034913417,0.121734432,0.065979975,0.046633337,0.130691372,0.149790943,0.448135445,0.00212108
WT-AN1,4_SP,WT,AN,0.0062979,0.145908709,0.04864373,0.072081799,0.196184043,0.206973767,0.323910052,0
WT-AN3,4_SP,WT,AN,0.015015781,0.268574046,0.11429226,0.135147426,0.11866688,0.015633174,0.332670433,0
WT-AN5,4_SP,WT,AN,0.008416948,0.187578679,0.073977893,0.097782545,0.162592971,0.220438965,0.244514606,0.004697392
WT-AN6,4_SP,WT,AN,0.015143138,0.320833793,0.158167729,0.137496004,0.102629924,0.016112986,0.248661435,0.000954991
WT-AN7,4_SP,WT,AN,0.047965235,0.311895713,0.207060682,0.1153116,0,0,0.31776677,0
