COL.ID,SEASON,SITE,SPECIES,SE,WE,TAG,FFA,Col,PE,PC,LPC
OT-PD5,2_FL,OT,PA,0.534818364,105.6270564,51.57622566,154.3864604,14.77918389,10.009884,14.71406032,10.55205342
OT-PD7,2_FL,OT,PA,2.076011146,151.5824246,78.63969682,203.032559,18.76112912,18.52849671,14.98559272,12.83184559
OT-PD9,2_FL,OT,PA,3.229739137,105.3480767,48.91943397,146.0724806,14.6692716,0.434966694,16.37804864,12.96884436
OT-PD10,2_FL,OT,PA,4.987475977,144.7235111,72.35363148,176.5499781,17.19612513,0.393569461,19.68103561,15.71850943
OT-PD1,3_WNT,OT,PA,0.172071709,77.48148333,17.19696997,133.7699189,15.62690729,1.839914743,4.869107632,10.02377891
OT-PD2,3_WNT,OT,PA,1.107669109,142.4190473,114.0927245,133.4079018,11.49909072,0.452810625,8.123725908,8.914474813
OT-PD5,3_WNT,OT,PA,1.078973968,78.13318467,34.96541212,120.1383862,12.78585455,0.539450036,11.23841449,13.21172614
OT-PD7,3_WNT,OT,PA,1.034408009,49.68318124,41.17848124,108.8169903,10.95830989,4.506362788,10.2839195,11.12383628
OT-PD9,3_WNT,OT,PA,1.381876612,90.65201507,61.26714,107.0465096,11.19569775,0.415620576,10.09093782,10.82266014
OT-PD10,3_WNT,OT,PA,1.806500042,77.59005617,51.25518332,123.1361761,12.65934158,5.828410609,11.02249194,11.77190022
OT-PD1,4_SP,OT,PA,1.107344112,98.64970367,41.10820294,191.6330627,22.82451784,0.840944139,5.072117062,9.464219562
OT-PD2,4_SP,OT,PA,1.435325636,86.20482536,21.09510596,115.6589509,21.67045418,0.834044669,6.555229976,8.902974126
OT-PD5,4_SP,OT,PA,0.844746632,70.73670026,12.69659231,77.70996528,22.43284367,1.104728754,6.107120279,11.20952126
OT-PD7,4_SP,OT,PA,1.260629141,115.2940951,44.15066634,145.8498831,17.60979862,0.631491063,6.508816942,9.087484798
OT-PD9,4_SP,OT,PA,1.538736302,134.8748275,48.7598633,154.041387,18.65644928,0.570643561,5.96275555,8.865247728
OT-PD10,4_SP,OT,PA,1.88091315,139.687436,52.68506277,180.7452231,19.91809536,0.672612823,6.644712649,9.513855778
OT-PD1,5_SM19,OT,PA,0.705698676,85.66227194,41.829159,98.11396889,10.17296878,0.775486378,11.5624201,10.94723281
OT-PD2,5_SM19,OT,PA,0.809396654,75.36705809,19.04694849,60.78397316,8.921195869,0.863118629,12.45811886,10.81962342
OT-PD5,5_SM19,OT,PA,1.168954855,136.5276321,22.34696175,40.6093157,8.959816783,0.940270046,12.48961281,11.80476406
OT-PD7,5_SM19,OT,PA,1.515241163,89.68420376,26.10098114,51.4258073,10.04773664,0.987152187,15.40474426,13.46719816
OT-PD9,5_SM19,OT,PA,1.533934103,100.6377754,22.84239349,47.08152259,8.796956266,0.907457731,12.74300218,10.68876364
OT-PD10,5_SM19,OT,PA,1.638416463,69.0195144,17.15003112,62.0037275,9.911734501,1.14834019,14.35403374,11.71351086
OT-AN5,1_SM18,OT,AN,0,0,1.725386542,134.3147666,18.47028534,11.49008237,8.710995583,13.84553089
OT-AN8,1_SM18,OT,AN,0,2.036146374,6.771862124,76.7071189,11.47140564,10.82874257,38.92351682,12.86496664
OT-AN9,1_SM18,OT,AN,0,8.033426243,16.79941547,107.2712895,15.66487714,5.647838559,13.29188697,13.95649751
OT-AN10,1_SM18,OT,AN,0,16.48772597,35.3112188,106.2593362,14.36057515,18.49581592,23.51777215,15.02317813
OT-AN12,1_SM18,OT,AN,0.066008368,53.41259882,108.7924007,80.34788278,9.95607278,15.15058853,29.60216708,11.70137774
OT-AN13,1_SM18,OT,AN,0,9.140246473,24.07856887,74.53405647,11.41177477,16.30761403,18.47466536,11.02479903
OT-AN5,2_FL,OT,AN,0.091351721,141.783962,81.13211444,129.6900496,38.3292809,30.54783985,25.04740215,18.52524305
OT-AN8,2_FL,OT,AN,0,44.66812481,0,88.09143137,36.14225823,28.67354319,47.01306879,4.756085459
OT-AN9,2_FL,OT,AN,1.757365465,69.12411786,53.13381847,74.55485849,19.04161475,19.74509928,23.48008924,13.59503818
OT-AN10,2_FL,OT,AN,0.615906622,114.4190965,70.12133858,97.41230615,31.14354873,31.83662306,27.91650228,19.50748901
OT-AN12,2_FL,OT,AN,0.084427823,52.39067269,25.70217547,67.3190588,25.24654838,22.10772632,31.56213304,12.94151574
OT-AN13,2_FL,OT,AN,1.243926381,70.61786029,72.09168808,61.27198105,17.67426052,21.27446848,30.33371548,12.35455355
OT-AN5,3_WNT,OT,AN,0.192346809,14.21692088,11.74371873,128.7428289,11.5018149,2.093211922,21.36109581,12.63814555
OT-AN8,3_WNT,OT,AN,0,0.947395574,1.464347339,116.306046,11.36881024,3.078835949,31.62518207,10.29668956
OT-AN9,3_WNT,OT,AN,1.934819642,34.36476174,32.14338624,96.6533372,9.775608441,0.699474827,17.07159773,11.87505882
OT-AN10,3_WNT,OT,AN,0.951284669,22.65430158,16.81160406,90.53042852,9.012471821,8.001886237,17.46175702,10.90605109
OT-AN12,3_WNT,OT,AN,0.095727509,28.53242189,22.02343519,91.28082208,9.568766819,11.85151968,26.4319235,11.54921003
OT-AN13,3_WNT,OT,AN,0.701965972,17.07883506,16.1477643,118.1369423,10.9334385,6.224960333,23.12849795,15.07025197
OT-AN5,4_SP,OT,AN,0,29.28895052,31.23926865,75.61936149,22.37147424,1.865560385,24.31477695,11.19392706
OT-AN8,4_SP,OT,AN,0,17.32715405,9.014471214,109.9875852,17.67926201,1.643712948,30.8543899,7.925482737
OT-AN9,4_SP,OT,AN,1.578706398,45.06446204,50.84591929,193.8334109,16.93937019,0.952618558,17.03225279,9.012757042
OT-AN10,4_SP,OT,AN,1.066564719,78.46617523,139.5722748,203.5323787,38.2094914,2.8854602,46.63690775,26.9049553
OT-AN12,4_SP,OT,AN,0.213777208,7.562800083,0,37.32149062,9.079871505,1.334248941,16.7514949,7.756916509
OT-AN13,4_SP,OT,AN,0,26.12499092,30.39357799,69.33715306,15.29667929,1.461850784,25.59740495,7.666813344
OT-AN5,5_SM19,OT,AN,0,27.2606301,2.282559195,62.12508518,7.568942811,3.536359838,28.73669682,7.297908598
OT-AN8,5_SM19,OT,AN,0,40.3253572,20.80888356,95.45753646,8.204727673,17.61893058,29.43969708,9.789954342
OT-AN9,5_SM19,OT,AN,1.164921797,52.71216771,19.88089436,118.5161172,11.15880277,16.47638707,24.62051965,12.02519249
OT-AN10,5_SM19,OT,AN,0,68.01441711,60.51485432,102.0350514,8.063250131,11.58928102,23.16818128,7.956683016
OT-AN12,5_SM19,OT,AN,0.010731733,25.84607276,10.4970315,62.86480327,5.704950403,10.5427323,20.77073109,6.374310745
OT-AN13,5_SM19,OT,AN,0.365910621,56.48005016,15.15183106,92.30187716,7.714161913,9.06656494,20.72231787,8.274114288
WT-AN1,1_SM18,WT,AN,0,11.62034475,29.03092438,60.24629528,10.29675372,11.23197269,27.18633423,13.37978363
WT-AN3,1_SM18,WT,AN,0,16.70216909,34.55406072,89.00099463,12.3665959,15.01126623,31.28594687,16.78325595
WT-AN5,1_SM18,WT,AN,0.139880284,69.0582184,132.8463307,83.38823954,11.79793952,12.37158975,25.59600005,14.55818239
WT-AN6,1_SM18,WT,AN,0,23.81135294,51.6870144,65.92278012,10.93063687,12.99459869,26.42140049,13.2505776
WT-AN7,1_SM18,WT,AN,0,37.23408956,81.77870961,90.76036891,13.70394742,9.408370465,35.72702691,12.56391627
WT-AN8,1_SM18,WT,AN,0,9.501403361,27.6909574,54.73833237,6.114237488,3.146956481,13.12861779,7.123158738
WT-AN1,2_FL,WT,AN,0,130.4678157,85.97082449,80.95365312,23.71649014,7.717786329,21.16997078,6.73364935
WT-AN3,2_FL,WT,AN,0.195240073,45.95086332,22.78864384,61.69452769,18.59604623,9.747867062,21.02689245,9.083521264
WT-AN5,2_FL,WT,AN,0.658558651,131.5707293,103.6067293,96.46007983,21.17588668,3.008519702,15.77481982,6.540911328
WT-AN6,2_FL,WT,AN,0.437012574,110.174605,96.53375865,78.29082782,22.71967631,10.93840744,20.31572897,6.528375891
WT-AN7,2_FL,WT,AN,0,34.29088419,10.42476984,61.26294549,19.58429676,2.798571448,25.10813433,2.737604616
WT-AN8,2_FL,WT,AN,0.382290275,49.62476233,30.08277593,68.4967375,14.89126936,1.332999973,15.85926709,4.215775596
WT-AN1,3_WNT,WT,AN,0.22536275,21.986702,23.8361098,108.3308904,10.43462767,1.489518677,24.15951962,11.4519573
WT-AN3,3_WNT,WT,AN,0.229936459,21.95307991,16.37194641,106.6748783,9.544678725,1.130482221,23.77458936,12.81554118
WT-AN5,3_WNT,WT,AN,0,27.48353052,26.32709844,114.7976783,11.75200355,2.431253625,18.80868666,16.75212112
WT-AN6,3_WNT,WT,AN,0.560953891,22.84459212,26.35602591,93.70682919,9.351259152,1.294233443,25.2629782,13.31678691
WT-AN7,3_WNT,WT,AN,0.648466651,18.41747197,17.70768421,89.96067059,9.861759693,1.599896757,26.38014187,13.8850935
WT-AN8,3_WNT,WT,AN,0.393031035,24.21679787,27.75590252,83.03842333,8.641045465,6.469372392,22.55709827,12.22593123
WT-AN1,4_SP,WT,AN,0,39.87194593,42.06482201,65.83065502,14.64972158,1.279969148,29.65411479,9.886227966
WT-AN3,4_SP,WT,AN,0,12.04606094,1.586947961,33.76989687,13.71902701,1.524275471,27.26337224,11.60198642
WT-AN5,4_SP,WT,AN,0.792120695,27.41803331,37.17259635,41.23246879,16.48905889,1.419349008,31.63137028,12.4748833
WT-AN6,4_SP,WT,AN,0.098357705,10.57020136,1.659530711,25.61047833,14.1611764,1.559642807,33.0437525,16.29022696
WT-AN7,4_SP,WT,AN,0,0,0,44.01587677,15.97253604,6.643966807,43.20263977,28.68127933
WT-AN8,4_SP,WT,AN,0.535853167,22.78472855,5.072500168,36.08801161,16.43555203,1.540215587,31.45981354,11.10818376
WT-AN1,5_SM19,WT,AN,0,11.84178379,2.489644668,60.13333963,7.271035983,9.381508288,27.37410236,10.0719823
WT-AN3,5_SM19,WT,AN,0,11.9398001,2.631273894,130.9010599,5.226162829,0,30.49137895,1.971807692
WT-AN6,5_SM19,WT,AN,0,21.83035959,8.38503308,49.14582361,4.764379638,9.417953593,14.12618419,8.140854389
WT-AN8,5_SM19,WT,AN,0.041834943,68.84587775,54.53098309,88.95070573,8.041254429,13.50126768,26.25247875,9.885978413
WT-AN11,5_SM19,WT,AN,0.060336187,21.59701366,9.603421088,40.80210419,6.331361749,2.586346569,21.54009675,8.274843227
WT-AN14,5_SM19,WT,AN,0,21.08128006,7.182997958,52.1996803,5.996810626,3.488667376,22.78741311,7.825223211
OT-PL1,1_SM18,OT,PL,0,3.451799722,5.230614632,48.03584411,6.933503322,0,2.337682133,0
OT-PL4,1_SM18,OT,PL,0.551272519,60.26364593,113.2596011,113.0739993,9.641136073,13.31607327,18.6291254,3.583227322
OT-PL5,1_SM18,OT,PL,0,1.036216713,15.01482736,32.16421038,6.954934656,6.923504798,10.0559436,0.843787374
OT-PL6,1_SM18,OT,PL,0,12.3984612,29.84530137,80.30119176,12.64236966,20.46436733,26.91594226,3.65582366
OT-PL8,1_SM18,OT,PL,0.40662279,7.414047298,26.90536579,45.07532041,9.212595443,10.02754087,12.37626752,2.763792035
OT-PL9,1_SM18,OT,PL,0.415215199,70.87257878,86.12863914,146.9647298,16.61813201,34.92253198,39.87653034,6.098685901
OT-PL1,2_FL,OT,PL,2.217930175,2.836295765,5.440822313,29.61674172,20.90482292,7.926055832,14.90187524,5.016092767
OT-PL4,2_FL,OT,PL,1.388817942,50.71254536,76.45910129,128.4815945,28.48237661,15.61039188,24.51634698,5.825037273
OT-PL5,2_FL,OT,PL,0.551751325,22.29040859,20.22315068,32.91385104,31.38766953,13.76422468,24.1295658,6.487367097
OT-PL6,2_FL,OT,PL,0.544695925,30.70069282,54.06210904,88.08176265,26.4114049,20.32231307,28.42912041,6.945409279
OT-PL8,2_FL,OT,PL,1.185635,39.52780695,73.07945824,33.28767854,26.83706173,13.99430631,25.87143895,7.187881335
OT-PL9,2_FL,OT,PL,3.238541835,77.55201545,96.78743589,228.8942689,79.70140023,58.51984979,99.44474712,29.80059314
OT-PL1,3_WNT,OT,PL,1.167818567,17.99042924,59.43899364,98.36003817,17.27768395,2.336920003,11.83211216,4.166348172
OT-PL4,3_WNT,OT,PL,0.258102961,11.8345545,28.62991465,60.65038388,10.56592781,1.646361304,8.313071196,2.965563922
OT-PL5,3_WNT,OT,PL,0,2.280343328,9.562805211,22.53419883,11.49735113,1.941349101,6.190534548,2.043401274
OT-PL6,3_WNT,OT,PL,0.242977919,10.26536691,18.74621476,59.86414222,12.18544017,1.748439324,9.768764039,3.703406236
